F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,T
33035904,0,15215552,0,3198240,0,414768,0,36408,0,2100,0,70,0,1,9
27329152,0,10636480,0,1644448,0,147120,0,11576,0,900,0,46,0,1,29
128,896,3136,7424,12896,16544,16560,13184,8280,4136,1612,464,98,14,1,21
128,-768,2368,-3712,5088,-4928,4784,-3136,2392,-1232,636,-232,74,-12,1,21
-8064,12160,10688,6272,41632,40928,16432,17344,19480,10376,2772,360,14,2,1,29
482944,0,513216,0,241056,0,62640,0,9720,0,900,0,46,0,1,29
2822784,0,1676480,0,460704,0,81072,0,10296,0,900,0,46,0,1,29
128,128,1216,2944,2976,6880,3184,5568,1592,1720,372,184,38,2,1,29
128,0,448,256,672,0,688,0,344,0,84,16,14,0,1,29
204928,0,196032,0,85152,0,20272,0,1688,0,84,0,14,0,1,9
16512,83712,174016,189056,126496,70336,37744,13312,2296,400,-28,56,62,-12,1,29
22656,146048,321088,466176,423520,357536,237360,135872,60056,21048,5676,1088,162,14,1,29
105336687,-38414,52783585,13720,11294304,-588,1344168,2,96042,0,4116,0,98,0,1,1
128,896,3136,9984,27360,50208,63600,54272,31800,12552,3420,624,98,14,1,21
149,804,2633,6440,11452,14952,14938,11794,7450,3752,1484,448,98,14,1,1
-384,17664,78272,140288,132768,81408,46000,25920,10040,2928,1140,48,78,0,1,9
11816576,0,7490496,0,2143520,0,351280,0,35000,0,2100,0,70,0,1,29
14016384,0,9400000,0,2700000,0,430000,0,41000,0,2340,0,74,0,1,29
16512,20480,16064,23296,19104,10240,7152,3520,1080,384,116,0,-10,0,1,9
10368,0,-7744,0,-352,0,1584,0,408,0,84,0,14,0,1,9
3570048,0,2493376,0,763872,0,134448,0,14792,0,1012,0,42,0,1,29
10368,35968,38592,4224,-9056,9952,15728,8896,5880,3064,788,232,38,2,1,29
128,128,448,4096,20640,43360,55600,47616,27800,10840,2580,256,14,2,1,21
22656,118272,169792,87680,71136,53056,-1680,15104,-1352,384,844,-328,98,-12,1,29
16512,47872,61760,48256,16736,-4672,-336,1728,1496,208,-260,8,50,-12,1,29
-48512,0,171456,0,-1504,0,7984,0,1400,0,84,0,-10,0,1,29
3892608,0,2477248,0,569440,0,55984,0,2376,0,132,0,18,0,1,29
128,896,3136,7168,12512,17568,19184,15616,9592,4392,1564,448,98,14,1,29
16512,10240,5056,14592,19360,-1536,11120,256,3896,1344,676,176,-10,0,1,29
29824,0,7872,0,-1248,0,-80,0,536,0,36,0,-10,0,1,29
128,128,448,384,672,480,560,448,280,120,84,24,14,2,1,6
10927744,0,7434176,0,2172704,0,355120,0,35128,0,2100,0,70,0,1,9
109601664,0,54001088,0,11440736,0,1351728,0,96168,0,4116,0,98,0,1,9
748928,0,530368,0,191456,0,46640,0,7560,0,756,0,42,0,1,29
13277312,0,6136768,0,1231520,0,147504,0,13080,0,948,0,46,0,1,29
128,128,448,1536,2976,4320,4656,3968,2328,1080,372,96,14,2,1,29
109970304,0,53606848,0,11353184,0,1345840,0,96040,0,4116,0,98,0,1,29
119936,0,115136,0,62624,0,14896,0,2392,0,340,0,14,0,1,29
128,-768,2368,-1152,12512,-3520,15280,-2752,7640,-880,1564,-72,74,-12,1,9
42112,0,87744,0,88864,0,25008,0,1816,0,36,0,-10,0,1,29
128,-768,3136,-6144,7136,-3520,-656,2048,-328,-880,892,-384,98,-12,1,29
16512,68352,111424,102528,79968,42304,24368,10560,5080,2032,668,168,50,-12,1,9
38249344,0,19759296,0,4461280,0,577968,0,47080,0,2436,0,74,0,1,29
4240768,0,2504640,0,619488,0,87600,0,8968,0,756,0,42,0,1,9
95616,0,104128,0,54880,0,16048,0,2760,0,228,0,18,0,1,29
3447424,0,2451136,0,748960,0,128688,0,13880,0,996,0,46,0,1,29
109691776,0,35280576,0,5295328,0,544176,0,42856,0,2340,0,74,0,1,29
39381632,0,20426688,0,4627744,0,595760,0,47352,0,2356,0,70,0,1,29
281849,661828,984425,1013096,825636,537376,289898,129170,48330,14952,3836,784,126,14,1,1
128,0,448,2816,4896,5632,8432,4352,4216,1408,612,176,14,0,1,21
25850752,0,13352640,0,3196128,0,457648,0,41576,0,2340,0,74,0,1,29
16512,0,-320,0,288,0,-80,0,-40,0,36,0,-10,0,1,29
22656,124544,328512,552064,637792,524128,311536,131392,42040,9784,2188,264,26,2,1,29
1544064,0,975808,0,265568,0,39984,0,2920,0,180,0,18,0,1,29
128,0,448,0,1312,640,1648,512,824,160,164,0,14,0,1,9
16512,-10880,-448,11520,9952,2464,3504,3712,1944,520,236,176,74,14,1,29
22656,109696,168384,167808,117408,58336,19248,4032,280,120,84,24,14,2,1,9
339328,0,392128,0,186848,0,48432,0,7688,0,756,0,42,0,1,9
16768,0,1216,0,1632,0,1200,0,520,0,132,0,18,0,1,29
128,-768,2752,-2944,7584,-7360,15472,-9536,7736,-1840,948,-184,86,-12,1,21
16512,-10240,2496,-2304,1312,3072,688,-512,152,-192,148,16,-10,0,1,29
71492992,0,27942336,0,5062112,0,576304,0,45320,0,2388,0,74,0,1,29
128,0,2496,-896,9632,-1024,11184,-192,5592,-256,1204,-56,78,0,1,6
9980011,-13998,7028001,7000,2100000,-420,349720,2,35002,0,2100,0,70,0,1,1
277351,-3022,332641,2520,163296,-252,45192,2,7562,0,756,0,42,0,1,1
128,128,832,4224,12384,18784,27376,19648,13688,4696,1548,264,26,2,1,21
99,-110,673,280,672,-84,504,2,282,0,84,0,14,0,1,1
16512,47232,55744,35584,20256,18656,15152,7040,2200,1016,436,48,-10,2,1,29
16512,19840,45888,54528,50528,42528,27504,12608,3512,296,76,160,74,14,1,29
22656,0,40384,0,13472,0,1840,0,280,0,84,0,14,0,1,29
248098688,0,101641664,0,18120800,0,1828912,0,113512,0,4372,0,98,0,1,29
60544,0,-61248,0,28960,0,-5712,0,280,0,132,0,-10,0,1,29
128,-768,2368,-4864,7392,-8768,8368,-6400,4184,-2192,924,-304,74,-12,1,29
16512,58112,87616,72704,35168,9920,1840,128,24,208,-84,-64,50,-12,1,29
185728,0,144576,0,55392,0,10416,0,1096,0,132,0,18,0,1,29
16512,9600,30784,48384,65376,55584,57328,44928,26104,9064,2044,336,74,14,1,29
183389056,0,73177536,0,13304928,0,1431856,0,97448,0,4116,0,98,0,1,9
128,896,5184,16512,37728,61088,70576,59072,35288,15272,4716,1032,162,14,1,29
